data,m2
2011/9/26,3081
2011/9/27,3172.875
2011/9/28,3167.625
2011/9/29,3147.375
2011/9/30,3194.25
2011/10/1,3177.75
2011/10/2,3162
2011/10/3,3145.875
2011/10/4,3157.5
2011/10/5,3111
2011/10/6,3134.625
2011/10/7,3111.375
2011/10/8,3112.875
2011/10/9,3181.875
2011/10/10,3225
2011/10/11,3225.75
2011/10/12,3247.5
2011/10/13,3576.75
2011/10/14,3537
2011/10/15,3543.75
2011/10/16,3523.125
2011/10/17,3500.625
2011/10/18,3495
2011/10/19,3541.5
2011/10/20,3354
2011/10/21,3377.25
2011/10/22,3382.125
2011/10/23,3236.25
2011/10/24,3165.375
2011/10/25,3545.25
2011/10/26,3527.625
2011/10/27,3498
2011/10/28,3481.875
2011/10/29,3309.75
2011/10/30,3314.625
2011/10/31,3343.5
2011/11/1,3419.625
2011/11/2,3316.875
2011/11/3,3330.75
2011/11/4,3031.125
2011/11/5,3033.375
2011/11/6,2992.5
2011/11/7,2928.75
2011/11/8,2937.375
2011/11/9,2918.625
2011/11/10,2925
2011/11/11,2935.125
2011/11/12,2925.375
2011/11/13,3020.625
2011/11/14,3055.875
2011/11/15,2998.875
2011/11/16,3006.75
2011/11/17,3006.75
2011/11/18,2876.25
2011/11/19,2856.75
2011/11/20,2872.5
2011/11/21,2884.5
2011/11/22,2880
2011/11/23,2884.875
2011/11/24,2867.625
2011/11/25,2884.5
2011/11/26,2800.125
2011/11/27,2782.5
2011/11/28,2691.375
2011/11/29,2863.5
2011/11/30,2878.5
2011/12/1,2836.125
2011/12/2,2877.375
2011/12/3,2875.125
2011/12/4,2910.375
2011/12/5,2914.875
2011/12/6,2907
2011/12/7,2937
2011/12/8,2943
2011/12/9,2946
2011/12/10,3012.75
2011/12/11,2980.5
2011/12/12,2937
2011/12/13,2894.625
2011/12/14,2998.875
2011/12/15,3309.375
2011/12/16,3309.375
2011/12/17,3303.75
2011/12/18,3267
2011/12/19,3195
2011/12/20,3331.125
2011/12/21,3324
2011/12/22,3152.625
2011/12/23,3090.375
2011/12/24,3169.125
2011/12/25,3043.125
2011/12/26,3020.625
2011/12/27,3017.625
2011/12/28,2965.875
2011/12/29,3141.375
2011/12/30,3125.625
2011/12/31,3119.25
2012/1/1,3093
2012/1/2,3099.75
2012/1/3,3099.75
2012/1/4,3090.375
2012/1/5,3096.375
2012/1/6,3110.25
2012/1/7,3063.75
2012/1/8,3069.75
2012/1/9,3121.875
2012/1/10,3044.625
2012/1/11,3063.75
2012/1/12,3020.25
2012/1/13,3002.25
2012/1/14,2981.25
2012/1/15,2859
2012/1/16,2856.75
2012/1/17,2714.625
2012/1/18,2735.625
2012/1/19,2730.375
2012/1/20,2751.75
2012/1/21,2593.5
2012/1/22,2585.625
2012/1/23,2607.375
2012/1/24,2596.125
2012/1/25,2597.25
2012/1/26,2560.125
2012/1/27,2592.375
2012/1/28,2590.5
2012/1/29,2590.5
2012/1/30,3147.375
2012/1/31,3180.375
2012/2/1,3127.125
2012/2/2,3149.625
2012/2/3,3189.375
2012/2/4,3236.625
2012/2/5,3236.625
2012/2/6,3214.125
2012/2/7,3207.75
2012/2/8,3216.375
2012/2/9,3214.875
2012/2/10,3187.875
2012/2/11,3162.75
2012/2/12,3120.75
2012/2/13,3063.75
2012/2/14,3066.375
2012/2/15,3072.375
2012/2/16,3064.125
2012/2/17,3041.625
2012/2/18,3003.75
2012/2/19,3036.75
2012/2/20,3033.75
2012/2/21,3044.25
2012/2/22,2982.375
2012/2/23,2972.625
2012/2/24,2944.875
2012/2/25,2944.875
2012/2/26,2939.25
2012/2/27,2872.125
2012/2/28,2872.125
2012/2/29,2875.5
2012/3/1,2832
2012/3/2,2960.625
2012/3/3,2947.5
2012/3/4,2944.875
2012/3/5,2928.375
2012/3/6,2850.375
2012/3/7,2839.125
2012/3/8,2810.25
2012/3/9,2810.25
2012/3/10,2796.75
2012/3/11,2448.75
2012/3/12,2438.625
2012/3/13,2636.25
2012/3/14,2926.5
2012/3/15,2943.75
2012/3/16,2985.375
2012/3/17,2959.5
2012/3/18,2920.5
2012/3/19,2914.5
2012/3/20,2912.625
2012/3/21,2903.25
2012/3/22,2906.625
2012/3/23,2936.25
2012/3/24,2938.875
2012/3/25,2946
2012/3/26,2947.125
2012/3/27,2934
2012/3/28,2926.5
2012/3/29,2926.5
2012/3/30,2971.5
2012/3/31,2915.25
2012/4/1,2895
2012/4/2,2877.75
2012/4/3,2943.375
2012/4/4,2967.375
2012/4/5,2961.75
2012/4/6,2971.875
2012/4/7,2947.875
2012/4/8,2830.5
2012/4/9,2817
2012/4/10,2815.5
2012/4/11,2786.25
2012/4/12,2764.125
2012/4/13,2743.125
2012/4/14,2743.125
2012/4/15,2751.75
2012/4/16,2760.75
2012/4/17,2767.125
2012/4/18,2752.5
2012/4/19,2747.625
2012/4/20,2743.875
2012/4/21,2740.5
2012/4/22,2715.375
2012/4/23,2733.75
2012/4/24,2715
2012/4/25,2701.875
2012/4/26,2662.125
2012/4/27,2675.625
2012/4/28,2675.625
2012/4/29,2640.75
2012/4/30,2964.875
2012/5/1,2942.25
2012/5/2,2924.625
2012/5/3,2940.375
2012/5/4,2856.75
2012/5/5,2937
2012/5/6,2951.625
2012/5/7,2937.75
2012/5/8,2886
2012/5/9,2876.625
2012/5/10,2992.125
2012/5/11,2992.125
2012/5/12,2995.125
2012/5/13,2991
2012/5/14,2996.25
2012/5/15,2976.375
2012/5/16,2976.375
2012/5/17,2993.625
2012/5/18,2956.875
2012/5/19,2955.75
2012/5/20,2946.75
2012/5/21,2946.75
2012/5/22,2946.75
2012/5/23,2973
2012/5/24,3023.625
2012/5/25,3050.25
2012/5/26,3553.5
2012/5/27,3569.625
2012/5/28,3607.5
2012/5/29,3646.875
2012/5/30,3636
2012/5/31,3606
2012/6/1,3606
2012/6/2,3568.125
2012/6/3,3555.375
2012/6/4,3403.5
2012/6/5,3387.375
2012/6/6,3387.375
2012/6/7,3257.625
2012/6/8,3218.625
2012/6/9,3252.375
2012/6/10,3250.875
2012/6/11,3250.875
2012/6/12,3287.625
2012/6/13,3205.5
2012/6/14,3175.125
2012/6/15,3177.75
2012/6/16,3148.5
2012/6/17,3145.875
2012/6/18,3115.875
2012/6/19,3136.125
2012/6/20,3136.125
2012/6/21,3140.625
2012/6/22,3111.375
2012/6/23,3150
2012/6/24,3135.75
2012/6/25,3138.75
2012/6/26,3108.75
2012/6/27,3173.625
2012/6/28,3099.375
2012/6/29,3085.5
2012/6/30,3069
2012/7/1,3051
2012/7/2,3037.5
2012/7/3,3032.625
2012/7/4,3003
2012/7/5,2995.5
2012/7/6,3004.5
2012/7/7,3001.875
2012/7/8,2997.375
2012/7/9,3012.75
2012/7/10,3053.25
2012/7/11,3053.25
2012/7/12,3072.375
2012/7/13,3087
2012/7/14,3087
2012/7/15,3087
2012/7/16,3087
2012/7/17,3051
2012/7/18,3033.375
2012/7/19,3034.5
2012/7/20,3047.25
2012/7/21,3056.25
2012/7/22,3103.125
2012/7/23,3089.625
2012/7/24,3118.5
2012/7/25,3115.5
2012/7/26,3087.75
2012/7/27,3204.75
2012/7/28,3204.75
2012/7/29,3205.5
2012/7/30,3186.375
2012/7/31,3156.375
2012/8/1,3160.125
2012/8/2,3231.75
2012/8/3,3220.125
2012/8/4,3201.75
2012/8/5,3184.875
2012/8/6,3123.375
2012/8/7,3123.375
2012/8/8,3112.875
2012/8/9,3108.75
2012/8/10,3094.125
2012/8/11,3068.625
2012/8/12,3013.875
2012/8/13,2987.25
2012/8/14,3005.25
2012/8/15,3046.125
2012/8/16,3022.125
2012/8/17,3055.5
2012/8/18,3077.25
2012/8/19,3102.75
2012/8/20,3093.75
2012/8/21,3007.875
2012/8/22,2952.375
2012/8/23,2974.875
2012/8/24,2941.5
2012/8/25,2943.75
2012/8/26,2941.5
2012/8/27,2941.5
2012/8/28,2902.125
2012/8/29,2911.5
2012/8/30,2911.5
2012/8/31,2906.25
2012/9/1,2847.375
2012/9/2,2832.375
2012/9/3,2784.75
2012/9/4,2785.125
2012/9/5,2783.25
2012/9/6,2849.625
2012/9/7,2849.625
2012/9/8,2797.5
2012/9/9,2787.375
2012/9/10,2787.375
2012/9/11,2801.25
2012/9/12,2799
2012/9/13,2769.75
2012/9/14,2725.875
2012/9/15,2722.125
2012/9/16,2698.5
2012/9/17,2691
2012/9/18,2732.25
2012/9/19,2713.125
2012/9/20,2688
2012/9/21,2772.375
2012/9/22,2770.125
2012/9/23,2779.875
2012/9/24,2734.5
2012/9/25,2705.625
2012/9/26,2695.875
2012/9/27,2684.25
2012/9/28,2684.25
2012/9/29,2696.25
2012/9/30,2707.5
2012/10/1,2680.5
2012/10/2,2655
2012/10/3,2655
2012/10/4,2769
2012/10/5,2784.375
2012/10/6,2716.125
2012/10/7,2705.25
2012/10/8,2705.25
2012/10/9,2748.75
2012/10/10,2871.75
2012/10/11,2877
2012/10/12,2829.75
2012/10/13,2829.75
2012/10/14,2866.5
2012/10/15,2857.125
2012/10/16,2899.875
2012/10/17,2890.875
2012/10/18,2890.875
2012/10/19,2866.875
2012/10/20,2865.375
2012/10/21,2863.125
2012/10/22,2853.75
2012/10/23,2853.75
2012/10/24,2855.25
2012/10/25,2863.875
2012/10/26,2819.625
2012/10/27,2854.875
2012/10/28,2854.875
2012/10/29,2854.875
2012/10/30,2866.125
2012/10/31,2799.75
2012/11/1,2755.5
2012/11/2,2755.5
2012/11/3,2729.25
2012/11/4,2716.125
2012/11/5,2778.75
2012/11/6,2873.25
2012/11/7,2837.25
2012/11/8,2806.5
2012/11/9,2836.5
2012/11/10,2763
2012/11/11,2726.625
2012/11/12,2726.25
2012/11/13,2745.375
2012/11/14,2719.875
2012/11/15,2736.75
2012/11/16,2700.375
2012/11/17,2667
2012/11/18,2647.125
2012/11/19,2650.875
2012/11/20,2680.875
2012/11/21,2688.75
2012/11/22,2633.625
2012/11/23,2622.75
2012/11/24,2631
2012/11/25,2604
2012/11/26,2602.5
2012/11/27,2576.625
2012/11/28,2527.875
2012/11/29,2520.75
2012/11/30,2538
2012/12/1,2509.5
2012/12/2,2530.125
2012/12/3,2507.625
2012/12/4,2482.875
2012/12/5,2496.375
2012/12/6,2507.25
2012/12/7,2509.875
2012/12/8,2573.625
2012/12/9,2583
2012/12/10,2599.125
2012/12/11,2622
2012/12/12,2633.625
2012/12/13,2647.5
2012/12/14,2657.25
2012/12/15,2682.375
2012/12/16,2690.625
2012/12/17,2686.125
2012/12/18,2684.25
2012/12/19,2688
2012/12/20,2640.375
2012/12/21,2635.875
2012/12/22,2603.625
2012/12/23,2599.875
2012/12/24,2578.5
2012/12/25,2561.625
2012/12/26,2569.125
2012/12/27,2587.125
2012/12/28,2584.5
2012/12/29,2569.125
2012/12/30,2547.75
2012/12/31,2536.5
2013/1/1,2505.375
2013/1/2,2505.375
2013/1/3,2490
2013/1/4,2482.5
2013/1/5,2497.875
2013/1/6,2489.625
2013/1/7,2489.625
2013/1/8,2499
2013/1/9,2519.25
2013/1/10,2530.125
2013/1/11,2598.75
2013/1/12,2598.75
2013/1/13,2564.25
2013/1/14,2588.25
2013/1/15,2610
2013/1/16,2577.375
2013/1/17,2577.375
2013/1/18,2555.625
2013/1/19,2513.25
2013/1/20,2504.625
2013/1/21,2446.125
2013/1/22,2446.125
2013/1/23,2437.5
2013/1/24,2448.375
2013/1/25,2440.5
2013/1/26,2415.75
2013/1/27,2423.625
2013/1/28,2419.5
2013/1/29,2403
2013/1/30,2421.375
2013/1/31,2495.25
2013/2/1,2555.25
2013/2/2,2547.375
2013/2/3,2568.75
2013/2/4,2556.375
2013/2/5,2490
2013/2/6,2476.875
2013/2/7,2478.375
2013/2/8,2497.5
2013/2/9,2493.75
2013/2/10,2484
2013/2/11,2509.125
2013/2/12,2488.5
2013/2/13,2503.875
2013/2/14,2516.25
2013/2/15,2499
2013/2/16,2491.875
2013/2/17,2509.875
2013/2/18,2506.125
2013/2/19,2496
2013/2/20,2496.75
2013/2/21,2494.5
2013/2/22,2476.125
2013/2/23,2441.625
2013/2/24,2433.75
2013/2/25,2414.25
2013/2/26,2414.625
2013/2/27,2401.875
2013/2/28,2425.5
2013/3/1,2435.25
2013/3/2,2374.875
2013/3/3,2341.875
2013/3/4,2350.875
2013/3/5,2349.375
2013/3/6,2343.75
2013/3/7,2313
2013/3/8,2287.875
2013/3/9,2262.375
2013/3/10,2246.625
2013/3/11,2245.875
2013/3/12,2277.75
2013/3/13,2268
2013/3/14,2253.75
2013/3/15,2285.25
2013/3/16,2300.625
2013/3/17,2284.875
2013/3/18,2302.875
2013/3/19,2311.125
2013/3/20,2316
2013/3/21,2312.25
2013/3/22,2332.125
2013/3/23,2358.375
2013/3/24,2332.125
2013/3/25,2333.625
2013/3/26,2333.625
2013/3/27,2325
2013/3/28,2371.125
2013/3/29,2404.125
